SYMBOL,SECTOR
BAJFINANCE,NBFC
BALAJITELE,Other
BALAMINES,Other
BALKRISIND,AutoAncil
BALMLAWRIE,Other
BALPHARMA,Other
BALRAMCHIN,Other
BANARBEADS,Other
BANARISUG,Other
BANCOINDIA,Other
BANDHANBNK,Banking
BANKBARODA,Banking
BANKBEES,Other
BANKINDIA,Other
BANSWRAS,Other
BARBEQUE,Other
BASF,Other
BASML,Other
BATAINDIA,Other
BAYERCROP,Other
BBETF0432,Other
BBL,Other
BBOX,Other
BBTC,Other
BCG,Other
BCLIND,Other
BDL,Other
BECTORFOOD,Other
BEL,CapGoods
BEML,Other
BEPL,Other
BERGEPAINT,Other
BESTAGRO,Other
BFINVEST,Other
BFUTILITIE,Other
BGRENERGY,Other
BHAGCHEM,Other
BHAGERIA,Other
BHARATFORG,AutoAncil
BHARATGEAR,Other
BHARATRAS,Other
BHARTIARTL,Telecom
BHEL,CapGoods
BIGBLOC,Other
BIL,Other
BINDALAGRO,Other
BIOCON,Pharma
BIOFILCHEM,Other
BIRLACABLE,Other
BIRLACORPN,Cement
BIRLAMONEY,Other
BIRLATYRE,Other
BLISSGVS,Other
BLKASHYAP,Other
BLS,Other
BLUEDART,Logistics
BLUESTARCO,Other
BODALCHEM,Other
BOMDYEING,Other
BOROLTD,Other
BORORENEW,Other
BOSCHLTD,AutoAncil
BPCL,Energy
BPL,Other
BRFL,Other
BRIGADE,RealEstate
BRITANNIA,FMCG
BRNL,Other
BROOKS,Other
BSE,Other
BSLNIFTY,Other
BSOFT,Other
BURGERKING,Other
BUTTERFLY,Other
CADILAHC,Other
CAMLINFINE,Other
CAMS,Other
CANBK,Banking
CANFINHOME,Other
CANTABIL,Other
CAPACITE,Other
CAPLIPOINT,Other
CARBORUNIV,Other
CAREERP,Other
CARERATING,Other
CARTRADE,Other
CASTROLIND,Other
CCL,Other
CDSL,Other
CEATLTD,Other
CEBBCO,Other
CENTENKA,Other
CENTEXT,Other
CENTRALBK,Other
CENTRUM,Other
CENTUM,Other
CENTURYPLY,Other
CENTURYTEX,Other
CERA,Other
CEREBRAINT,Other
CESC,Energy
CGCL,Other
CGPOWER,Other
CHALET,Other
CHAMBLFERT,Other
CHEMBOND,Other
CHEMCON,Other
CHEMFAB,Other
CHEMPLASTS,Other
CHENNPETRO,Other
CHOLAFIN,NBFC
CHOLAHLDNG,Other
CIGNITITEC,Other
CINELINE,Other
CIPLA,Pharma
CLEAN,Other
CLEDUCATE,Other
CLNINDIA,Other
CLSEL,Other
CMICABLES,Other
CMSINFO,Other
COALINDIA,Energy
COASTCORP,Other
COCHINSHIP,CapGoods
COFFEEDAY,Other
COFORGE,IT
COLPAL,FMCG
COMPINFO,Other
CONCOR,Logistics
CONFIPET,Other
CONSOFINVT,Other
CONTROLPR,Other
CORALFINAC,Other
CORDSCABLE,Other
COROMANDEL,Agri
COSMOFILMS,Other
CPSEETF,Other
CRAFTSMAN,Other
CREATIVE,Other
CREDITACC,Other
CRISIL,Other
CROMPTON,CapGoods
CSBBANK,Other
CTE,Other
CUB,Other
CUMMINSIND,CapGoods
CUPID,Other
CYBERTECH,Other
CYIENT,Other
DAAWAT,Other
DABUR,FMCG
DALBHARAT,Cement
DALMIASUG,Other
DATAMATICS,Other
DATAPATTNS,Other
DBCORP,Other
DBL,Other
DBREALTY,Other
DCAL,Other
DCBBANK,Banking
DCMNVL,Other
DCMSHRIRAM,Other
DCMSRIND,Other
DCW,Other
DECCANCE,Other
DEEPAKFERT,Other
DEEPAKNTR,Chemicals
DEEPENR,Other
DEEPINDS,Other
DELTACORP,Other
DEN,Other
DENORA,Other
DEVYANI,Other
DFMFOODS,Other
DHAMPURSUG,Other
DHANBANK,Other
DHANI,Other
DHANUKA,Other
DHARAMSI,Other
DHUNINV,Other
DIAMONDYD,Other
DIGISPICE,Other
DISHTV,Other
DIVISLAB,Pharma
DIXON,Other
DLF,RealEstate
DLINKINDIA,Other
DMART,Other
DODLA,Other
DOLAT,Other
DOLATALGO,Other
DOLLAR,Other
DONEAR,Other
DPABHUSHAN,Other
DPWIRES,Other
DREDGECORP,Other
DRREDDY,Pharma
DSSL,Other
DTIL,Other
DVL,Other
DWARKESH,Other
DYNAMATECH,Other
DYNPRO,Other
EASEMYTRIP,Other
EBBETF0423,Other
EBBETF0425,Other
EBBETF0430,Other
EBBETF0431,Other
ECLERX,Other
EDELWEISS,Other
EICHERMOT,Auto
EIDPARRY,Other
EIHAHOTELS,Other
EIHOTEL,Other
EKC,Other
ELECON,Other
ELECTCAST,Other
ELECTHERM,Other
ELGIEQUIP,Other
ELGIRUBCO,Other
EMAMILTD,FMCG
EMAMIPAP,Other
EMAMIREAL,Other
EMKAY,Other
EMMBI,Other
ENDURANCE,Other
ENGINERSIN,Other
ENIL,Other
EPL,Other
EQUITAS,Other
EQUITASBNK,Other
ERIS,Other
EROSMEDIA,Other
ESABINDIA,Other
ESCORTS,Other
ESTER,Other
EVEREADY,Other
EVERESTIND,Other
EXCELINDUS,Other
EXIDEIND,AutoAncil
EXPLEOSOL,Other
EXXARO,Other
FACT,Other
FAIRCHEMOR,Other
FCL,Other
FCONSUMER,Other
FCSSOFT,Other
FDC,Other
FEDERALBNK,Banking
FEL,Other
FIEMIND,Other
FILATEX,Other
FINCABLES,Other
FINEORG,Other
FINOPB,Other
FINPIPE,Other
FLFL,Other
FLUOROCHEM,Other
FMGOETZE,Other
FOODSIN,Other
FORCEMOT,Other
FORTIS,Healthcare
FOSECOIND,Other
FRETAIL,Other
FSC,Other
FSL,Other
GABRIEL,Other
GAEL,Other
GAIL,Energy
GALAXYSURF,Other
GALLANTT,Other
GALLISPAT,Other
GANDHITUBE,Other
GANECOS,Other
GANESHBE,Other
GANESHHOUC,Other
GANGAFORGE,Other
GARFIBRES,Other
GATI,Logistics
GAYAPROJ,Other
GDL,Other
GEECEE,Other
GENESYS,Other
GENUSPAPER,Other
GENUSPOWER,Other
GEOJITFSL,Other
GEPIL,Other
GESHIP,Other
GET&D,Other
GFLLIMITED,Other
GHCL,Other
GICHSGFIN,Other
GICRE,Insurance
GILLETTE,Other
GINNIFILA,Other
GIPCL,Other
GLAND,Other
GLAXO,Other
GLENMARK,Pharma
GLOBE,Other
GLOBUSSPR,Other
GLS,Other
GMBREW,Other
GMDCLTD,Other
GMMPFAUDLR,Other
GMRINFRA,Other
GNA,Other
GNFC,Other
GOACARBON,Other
GOCLCORP,Other
GOCOLORS,Other
GODFRYPHLP,Other
GODREJAGRO,Other
GODREJCP,FMCG
GODREJIND,Other
GODREJPROP,RealEstate
GOKEX,Other
GOKUL,Other
GOKULAGRO,Other
GOLDBEES,Other
GOLDIAM,Other
GOLDSHARE,Other
GOODLUCK,Other
GOODYEAR,Other
GPIL,Other
GPPL,Other
GPTINFRA,Other
GRANULES,Other
GRAPHITE,Other
GRASIM,Other
GRAUWEIL,Other
GRAVITA,Other
GREAVESCOT,Other
GREENLAM,Other
GREENPANEL,Other
GREENPLY,Other
GREENPOWER,Other
GRINDWELL,CapGoods
GRINFRA,Other
GRSE,Other
GRWRHITECH,Other
GSCLCEMENT,Other
GSFC,Other
GSPL,Energy
GSS,Other
GTL,Other
GTLINFRA,Other
GTPL,Other
GUFICBIO,Other
GUJALKALI,Other
GUJGASLTD,Other
GULFOILLUB,Other
GULFPETRO,Other
GULPOLY,Other
HAL,CapGoods
HAPPSTMNDS,Other
HARRMALAYA,Other
HATHWAY,Other
HATSUN,Other
HAVELLS,CapGoods
HBLPOWER,Other
HCC,Other
HCG,Other
HCL-INSYS,Other
HCLTECH,IT
HDFC,Other
HDFCAMC,Other
HDFCBANK,Banking
HDFCLIFE,Insurance
HDFCMFGETF,Other
HDFCNIFETF,Other
HEG,Other
HEIDELBERG,Cement
HEMIPROP,Other
HERANBA,Other
HERCULES,Other
HERITGFOOD,Other
HEROMOTOCO,Auto
HESTERBIO,Other
HEXATRADEX,Other
HFCL,Telecom
HGINFRA,Other
HGS,Other
HIKAL,Other
HIL,Other
HIMATSEIDE,Other
HINDALCO,Metals
HINDCOPPER,Metals
HINDMOTORS,Other
HINDOILEXP,Other
HINDPETRO,Energy
HINDUNILVR,FMCG
HINDZINC,Other
HIRECT,Other
HISARMETAL,Other
HITECH,Other
HITECHCORP,Other
HITECHGEAR,Other
HLEGLAS,Other
HLVLTD,Other
HMVL,Other
HNDFDS,Other
HOMEFIRST,Other
HONAUT,Other
HONDAPOWER,Other
HPAL,Other
HPL,Other
HSCL,Other
HSIL,Other
HTMEDIA,Other
HUBTOWN,Other
HUDCO,Other
HUHTAMAKI,Other
IBREALEST,Other
IBULHSGFIN,Other
ICICIALPLV,Other
ICICIAUTO,Other
ICICIB22,Other
ICICIBANK,Banking
ICICIBANKN,Other
ICICIBANKP,Other
ICICIGI,Other
ICICIGOLD,Other
ICICILIQ,Other
ICICILOVOL,Other
ICICINIFTY,Other
ICICINXT50,Other
ICICIPRULI,Insurance
ICICISILVE,Other
ICICITECH,Other
ICIL,Other
ICRA,Other
IDBI,Other
IDEA,Telecom
IDFC,Other
IDFCFIRSTB,Banking
IEX,Other
IFBAGRO,Other
IFBIND,Other
IFCI,Other
IFGLEXPOR,Other
IGARASHI,Other
IGL,Energy
IGPL,Other
IIFL,NBFC
IIFLSEC,Other
IIFLWAM,Other
IMFA,Other
INDBANK,Other
INDHOTEL,Other
INDIACEM,Other
INDIAGLYCO,Other
INDIAMART,Other
INDIANB,Banking
INDIANHUME,Other
INDIGO,Other
INDIGOPNTS,Other
INDNIPPON,Other
INDOBORAX,Other
INDOCO,Other
INDORAMA,Other
INDOSTAR,Other
INDOTECH,Other
INDOTHAI,Other
INDRAMEDCO,Other
INDSWFTLAB,Other
INDTERRAIN,Other
INDUSINDBK,Banking
INDUSTOWER,Other
INEOSSTYRO,Other
INFIBEAM,Other
INFOBEAN,Other
INFY,IT
INGERRAND,Other
INOXLEISUR,Other
INOXWIND,Other
INSECTICID,Other
INTELLECT,Other
INTENTECH,Other
INTLCONV,Other
INVENTURE,Other
IOB,Other
IOC,Energy
IOLCP,Other
IONEXCHANG,Other
IPCALAB,Pharma
IPL,Other
IRB,Other
IRCON,Construction
IRCTC,Other
IRFC,Other
ISEC,Other
ISFT,Other
ISGEC,Other
ISMTLTD,Other
ITC,FMCG
ITDC,Other
ITDCEM,Other
ITI,Other
IZMO,Other
J&KBANK,Banking
JAGRAN,Other
JAGSNPHARM,Other
JAIBALAJI,Other
JAICORPLTD,Other
JAMNAAUTO,Other
JASH,Other
JAYAGROGN,Other
JAYBARMARU,Other
JAYNECOIND,Other
JAYSREETEA,Other
JBCHEPHARM,Other
JBFIND,Other
JBMA,Other
JCHAC,Other
JHS,Other
JINDALPHOT,Other
JINDALPOLY,Other
JINDALSAW,Metals
JINDALSTEL,Other
JINDRILL,Other
JINDWORLD,Other
JISLJALEQS,Other
JKCEMENT,Cement
JKIL,Other
JKLAKSHMI,Other
JKPAPER,Other
JKTYRE,Other
JMCPROJECT,Other
JMFINANCIL,Other
JOCIL,Other
JPASSOCIAT,Other
JPINFRATEC,Other
JPOLYINVST,Other
JPPOWER,Other
JSL,Other
JSLHISAR,Other
JSWENERGY,Other
JSWHL,Other
JSWISPL,Other
JSWSTEEL,Metals
JTEKTINDIA,Other
JTLINFRA,Other
JUBLFOOD,Other
JUBLINDS,Other
JUBLINGREA,Other
JUBLPHARMA,Other
JUMPNET,Other
JUNIORBEES,Other
JUSTDIAL,Other
JYOTHYLAB,Other
KABRAEXTRU,Other
KAJARIACER,Other
KAKATCEM,Other
KALPATPOWR,Other
KALYANKJIL,Other
KAMATHOTEL,Other
KAMDHENU,Other
KANORICHEM,Other
KANPRPLA,Other
KANSAINER,Chemicals
KARDA,Other
KARURVYSYA,Other
KAYA,Other
KBCGLOBAL,Other
KCP,Other
KCPSUGIND,Other
KDDL,Other
KEC,Other
KECL,Other
KEI,Other
KELLTONTEC,Other
KENNAMET,Other
KESORAMIND,Other
KHADIM,Other
KHAICHEM,Other
KILITCH,Other
KIMS,Other
KINGFA,Other
KIOCL,Other
KIRIINDUS,Other
KIRLFER,Other
KIRLOSBROS,Other
KIRLOSENG,Other
KIRLOSIND,Other
KITEX,Other
KKCL,Other
KMSUGAR,Other
KNRCON,Other
KOKUYOCMLN,Other
KOLTEPATIL,Other
KOPRAN,Other
KOTAKALPHA,Other
KOTAKBANK,Banking
KOTAKBKETF,Other
KOTAKGOLD,Other
KOTAKIT,Other
KOTAKNIFTY,Other
KOTAKPSUBK,Other
KOTARISUG,Other
KOTHARIPET,Other
KOTHARIPRO,Other
KOVAI,Other
KPIGLOBAL,Other
KPITTECH,IT
KPRMILL,Other
KRBL,Other
KREBSBIO,Other
KRITI,Other
KRSNAA,Other
KSB,Other
KSCL,Other
KSL,Other
KTKBANK,Other
KUANTUM,Other
L&TFH,Other
LAGNAM,Other
LALPATHLAB,Other
LAMBODHARA,Other
LAOPALA,Other
LASA,Other
LATENTVIEW,Other
LAURUSLABS,Other
LAXMIMACH,Other
LEMONTREE,Other
LGBBROSLTD,Other
LIBAS,Other
LIBERTSHOE,Other
LICHSGFIN,Other
LIKHITHA,Other
LINC,Other
LINCOLN,Other
LINDEINDIA,Other
LIQUIDBEES,Other
LIQUIDETF,Other
LODHA,Other
LOKESHMACH,Other
LOVABLE,Other
LSIL,Other
LT,Construction
LTI,Other
LTTS,Other
LUMAXIND,Other
LUMAXTECH,Other
LUPIN,Pharma
LUXIND,Other
LXCHEM,Other
LYKALABS,Other
M&M,Auto
M&MFIN,NBFC
MAANALU,Other
MADRASFERT,Other
MAFANG,Other
MAGADSUGAR,Other
MAHABANK,Banking
MAHEPC,Other
MAHESHWARI,Other
MAHINDCIE,Logistics
MAHKTECH,Other
MAHLIFE,RealEstate
MAHLOG,Other
MAHSCOOTER,Other
MAHSEAMLES,Other
MAITHANALL,Other
MAN50ETF,Other
MANAKSIA,Other
MANAKSTEEL,Other
MANALIPETC,Other
MANAPPURAM,NBFC
MANGALAM,Other
MANGCHEFER,Other
MANGLMCEM,Other
MANINDS,Other
MANINFRA,Other
MANORG,Other
MANYAVAR,Other
MAPMYINDIA,Other
MARALOVER,Other
MARATHON,Other
MARICO,FMCG
MARINE,Other
MARKSANS,Other
MARSHALL,Other
MARUTI,Auto
MASFIN,Other
MASTEK,IT
MATRIMONY,Other
MAWANASUG,Other
MAXHEALTH,Healthcare
MAXIND,Other
MAXVIL,Other
MAYURUNIQ,Other
MAZDA,Other
MAZDOCK,Other
MBAPL,Other
MBLINFRA,Other
MCDOWELL-N,FMCG
MCL,Other
MCLEODRUSS,Other
MCX,Other
MEDICAMEQ,Other
MEDPLUS,Other
MEGASOFT,Other
MENONBE,Other
MEP,Other
METROBRAND,Other
METROPOLIS,Healthcare
MFL,Other
MFSL,Other
MGEL,Other
MGL,Energy
MHLXMIRU,Other
MHRIL,Other
MICEL,Other
MIDHANI,Other
MINDACORP,Other
MINDAIND,Other
MINDTECK,Other
MINDTREE,Other
MIRCELECTR,Other
MIRZAINT,Other
MITCON,Other
MMFL,Other
MMP,Other
MMTC,Other
MODISNME,Other
MOIL,Metals
MOKSH,Other
MOL,Other
MOLDTECH,Other
MOLDTKPAC,Other
MON100,Other
MONARCH,Other
MONTECARLO,Other
MOREPENLAB,Other
MOTHERSUMI,Other
MOTILALOFS,Other
MPHASIS,IT
MPSLTD,Other
MRF,AutoAncil
MRPL,Energy
MSPL,Other
MSTCLTD,Other
MTARTECH,Other
MTNL,Other
MUKANDLTD,Other
MUNJALAU,Other
MUNJALSHOW,Other
MURUDCERA,Other
MUTHOOTCAP,Other
MUTHOOTFIN,NBFC
NACLIND,Other
NAGAFERT,Other
NAHARCAP,Other
NAHARINDUS,Other
NAHARPOLY,Other
NAHARSPING,Other
NAM-INDIA,Other
NATCOPHARM,Pharma
NATHBIOGEN,Other
NATIONALUM,Metals
NAUKRI,Other
NAVINFLUOR,Chemicals
NAVKARCORP,Other
NAVNETEDUL,Other
NAZARA,Other
NBCC,Other
NBIFIN,Other
NBVENTURES,Other
NCC,Construction
NCLIND,Other
NDL,Other
NDRAUTO,Other
NDTV,Other
NECCLTD,Other
NECLIFE,Other
NELCAST,Other
NELCO,Other
NEOGEN,Other
NESCO,Other
NESTLEIND,FMCG
NETFIT,Other
NETFMID150,Other
NETFPHARMA,Other
NETFSDL26,Other
NETFSILVER,Other
NETWORK18,Other
NEULANDLAB,Other
NEWGEN,Other
NFL,Other
NGIL,Other
NH,Other
NHPC,Energy
NIACL,Insurance
NIFTYBEES,Other
NIITLTD,Other
NILAINFRA,Other
NILKAMAL,Other
NIPPOBATRY,Other
NITINSPIN,Other
NLCINDIA,Other
NMDC,Metals
NOCIL,Other
NOVARTIND,Other
NRAIL,Other
NRBBEARING,Other
NTPC,Energy
NUCLEUS,Other
NURECA,Other
NUVOCO,Other
NXTDIGITAL,Other
NYKAA,Other
OAL,Other
OBEROIRLTY,RealEstate
OCCL,Other
OFSS,IT
OIL,Energy
OLECTRA,Other
OMAXAUTO,Other
OMAXE,Other
OMINFRAL,Other
ONEPOINT,Other
ONGC,Energy
ONMOBILE,Other
ONWARDTEC,Other
OPTIEMUS,Other
ORBTEXP,Other
ORCHPHARMA,Other
ORICONENT,Other
ORIENTABRA,Other
ORIENTBELL,Other
ORIENTCEM,Other
ORIENTELEC,ConsumerDurables
ORIENTHOT,Other
ORIENTPPR,Other
ORISSAMINE,Other
ORTINLAB,Other
PAGEIND,Other
PAISALO,Other
PALREDTEC,Other
PANACEABIO,Other
PANAMAPET,Other
PAR,Other
PARACABLES,Other
PARAGMILK,Other
PARAS,Other
PARSVNATH,Other
PASUPTAC,Other
PATELENG,Other
PAYTM,Other
PCBL,Other
PCJEWELLER,Other
PDMJEPAPER,Other
PDSL,Other
PDSMFL,Other
PEL,Other
PENIND,Other
PERSISTENT,IT
PETRONET,Energy
PFC,Other
PFIZER,Pharma
PFOCUS,Other
PFS,Other
PGEL,Other
PGHH,Other
PGHL,Other
PGIL,Other
PHILIPCARB,Other
PHOENIXLTD,RealEstate
PIDILITIND,Chemicals
PIIND,Other
PILANIINVS,Other
PILITA,Other
PIONDIST,Other
PIONEEREMB,Other
PITTIENG,Other
PLASTIBLEN,Other
PNB,Banking
PNBGILTS,Other
PNBHOUSING,Other
PNCINFRA,Construction
PODDARMENT,Other
POKARNA,Other
POLICYBZR,Other
POLYCAB,Other
POLYMED,Other
POLYPLEX,Other
PONNIERODE,Other
POONAWALLA,Other
POWERGRID,Energy
POWERINDIA,Other
POWERMECH,Other
PPAP,Other
PPL,Other
PRAJIND,Other
PRAKASH,Other
PRAKASHSTL,Other
PRECAM,Other
PRECOT,Other
PRECWIRE,Other
PREMEXPLN,Other
PRESSMN,Other
PRESTIGE,RealEstate
PRICOLLTD,Other
PRINCEPIPE,Other
PRIVISCL,Other
PROZONINTU,Other
PRSMJOHNSN,Other
PSB,Other
PSPPROJECT,Other
PSUBNKBEES,Other
PTC,Other
PTL,Other
PUNJABCHEM,Other
PURVA,Other
PVR,Other
QUESS,Other
QUICKHEAL,Other
RADICO,FMCG
RADIOCITY,Other
RAILTEL,Telecom
RAIN,Other
RAJESHEXPO,Other
RAJRATAN,Other
RALLIS,Agri
RAMASTEEL,Other
RAMCOCEM,Cement
RAMCOIND,Other
RAMCOSYS,Other
RAMKY,Other
RANASUG,Other
RANEENGINE,Other
RANEHOLDIN,Other
RATEGAIN,Other
RATNAMANI,Other
RAYMOND,Other
RBA,Other
RBL,Other
RBLBANK,Banking
RCF,Other
RCOM,Other
RECLTD,Other
REDINGTON,Other
REFEX,Other
RELAXO,Other
RELCAPITAL,Other
RELIANCE,Energy
RELIGARE,Other
RELINFRA,Other
RENUKA,Other
REPCOHOME,Other
REPL,Other
REPRO,Other
RESPONIND,Other
REVATHI,Other
RGL,Other
RHFL,Other
RHIM,Other
RICOAUTO,Other
RIIL,Other
RITES,Other
RKFORGE,Other
RML,Other
ROHLTD,Other
ROLEXRINGS,Other
ROLTA,Other
ROSSARI,Other
ROSSELLIND,Other
ROUTE,Other
RPGLIFE,Other
RPOWER,Other
RPPINFRA,Other
RPPL,Other
RPSGVENT,Other
RSSOFTWARE,Other
RSWM,Other
RSYSTEMS,Other
RTNINDIA,Other
RTNPOWER,Other
RUBYMILLS,Other
RUCHI,Other
RUCHIRA,Other
RUPA,Other
RUSHIL,Other
RVNL,Construction
SADBHAV,Other
SADBHIN,Other
SAFARI,Other
SAGCEM,Other
SAIL,Metals
SAKAR,Other
SAKHTISUG,Other
SAKSOFT,Other
SAKUMA,Other
SALASAR,Other
SALONA,Other
SALZERELEC,Other
SANDHAR,Other
SANGAMIND,Other
SANGHIIND,Other
SANGHVIMOV,Other
SANOFI,Pharma
SANSERA,Other
SAPPHIRE,Other
SARDAEN,Other
SAREGAMA,Other
SARLAPOLY,Other
SASKEN,Other
SASTASUNDR,Other
SATIA,Other
SATIN,Other
SBC,Other
SBCL,Other
SBICARD,Other
SBILIFE,Insurance
SBIN,Banking
SCHAEFFLER,Other
SCHAND,Other
SCHNEIDER,Other
SCI,Other
SDBL,Other
SEAMECLTD,Other
SECURKLOUD,Other
SELAN,Other
SEPC,Other
SEQUENT,Other
SESHAPAPER,Other
SETCO,Other
SETFGOLD,Other
SETFNIF50,Other
SETFNIFBK,Other
SETFNN50,Other
SFL,Other
SHAHALLOYS,Other
SHAKTIPUMP,Other
SHALBY,Other
SHALPAINTS,Other
SHANKARA,Other
SHANTIGEAR,Other
SHARDACROP,Other
SHARDAMOTR,Other
SHAREINDIA,Other
SHEMAROO,Other
SHIL,Other
SHILPAMED,Other
SHIVALIK,Other
SHIVAMAUTO,Other
SHIVAMILLS,Other
SHIVATEX,Other
SHK,Other
SHOPERSTOP,Other
SHREDIGCEM,Other
SHREECEM,Cement
SHREEPUSHK,Other
SHRENIK,Other
SHREYANIND,Other
SHREYAS,Other
SHRIRAMCIT,Other
SHRIRAMEPC,Other
SHRIRAMPPS,Other
SHYAMCENT,Other
SHYAMMETL,Other
SICAL,Other
SIEMENS,CapGoods
SIGACHI,Other
SILVER,Other
SIMPLEXINF,Other
SINTEX,Other
SIRCA,Other
SIS,Other
SIYSIL,Other
SJS,Other
SJVN,Energy
SKFINDIA,Other
SKIPPER,Other
SKMEGGPROD,Other
SMARTLINK,Other
SMCGLOBAL,Other
SMLISUZU,Other
SMSLIFE,Other
SMSPHARMA,Other
SNOWMAN,Other
SOBHA,RealEstate
SOLARA,Other
SOLARINDS,Other
SOMANYCERA,Other
SONACOMS,Other
SONATSOFTW,IT
SORILINFRA,Other
SOTL,Other
SOUTHBANK,Banking
SOUTHWEST,Other
SPAL,Other
SPANDANA,Other
SPARC,Other
SPECIALITY,Other
SPENCERS,Other
SPIC,Other
SPICEJET,Other
SPLIL,Other
SPTL,Other
SREEL,Other
SREINFRA,Other
SRF,Other
SRHHYPOLTD,Other
SRIPIPES,Other
SRTRANSFIN,Other
SSWL,Other
STAR,Other
STARCEMENT,Other
STARHEALTH,Other
STARPAPER,Other
STCINDIA,Other
STEELCITY,Other
STEELXIND,Other
STEL,Other
STERTOOLS,Other
STLTECH,Other
STOVEKRAFT,Other
STYLAMIND,Other
SUBEXLTD,Other
SUBROS,Other
SUDARSCHEM,Other
SUMEETINDS,Other
SUMICHEM,Other
SUMMITSEC,Other
SUNCLAYLTD,Other
SUNDARMFIN,NBFC
SUNDARMHLD,Other
SUNDRMFAST,AutoAncil
SUNFLAG,Other
SUNPHARMA,Pharma
SUNTECK,Other
SUNTV,Media
SUPERHOUSE,Other
SUPPETRO,Other
SUPRAJIT,Other
SUPREMEIND,Other
SUPRIYA,Other
SURYAROSNI,Other
SURYODAY,Other
SUTLEJTEX,Other
SUULD,Other
SUVEN,Other
SUVENPHAR,Other
SUVIDHAA,Other
SUZLON,Other
SVPGLOB,Other
SWANENERGY,Other
SWARAJENG,Other
SWELECTES,Other
SWSOLAR,Other
SYMPHONY,ConsumerDurables
SYNGENE,Other
TAJGVK,Other
TAKE,Other
TALBROAUTO,Other
TANLA,Other
TARC,Other
TARMAT,Other
TARSONS,Other
TASTYBITE,Other
TATACHEM,Other
TATACOFFEE,Other
TATACOMM,Telecom
TATACONSUM,FMCG
TATAELXSI,IT
TATAINVEST,Other
TATAMETALI,Other
TATAMOTORS,Auto
TATAMTRDVR,Other
TATAPOWER,Energy
TATASTEEL,Metals
TATASTLLP,Other
TATVA,Other
TBZ,Other
TCI,Other
TCIEXP,Other
TCNSBRANDS,Other
TCPLPACK,Other
TCS,IT
TDPOWERSYS,Other
TEAMLEASE,Other
TECHM,IT
TECHNOE,Other
TEGA,Other
TEJASNET,Other
TEMBO,Other
